Alfreds Futterkiste,Maria,Anders,Obere Str. 57,Berlin,12209,Germany,Maria.Anders@gmail.com
Ana Trujillo Emparedados y helados,Ana,Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico,Ana.Trujillo@gmail.com
Antonio Moreno Taquería,Antonio,Moreno,Mataderos 2312,México D.F.,5023,Mexico,Antonio.Moreno@gmail.com
Around the Horn,Thomas,Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Thomas.Hardy@gmail.com
Berglunds snabbköp,Christina,Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Christina.Berglund@gmail.com
Blauer See Delikatessen,Hanna,Moos,Forsterstr. 57,Mannheim,68306,Germany,Hanna.Moos@gmail.com
Blondel père et fils,Frédérique,Citeaux,"24, place Kléber",Strasbourg,67000,France,Frédérique.Citeaux@gmail.com
Bólido Comidas preparadas,Martín,Sommer,"C/ Araquil, 67",Madrid,28023,Spain,Martín.Sommer@gmail.com
Bon app',Laurence,Lebihans,"12, rue des Bouchers",Marseille,13008,France,Laurence.Lebihans@gmail.com
Bottom-Dollar Marketse,Elizabeth,Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Elizabeth.Lincoln@gmail.com
B's Beverages,Victoria,Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,Victoria.Ashworth@gmail.com
Cactus Comidas para llevar,Patricio,Simpson,Cerrito 333,Buenos Aires,1010,Argentina,Patricio.Simpson@gmail.com
Centro comercial Moctezuma,Francisco,Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,Francisco.Chang@gmail.com
Chop-suey Chinese,Yang,Wang,Hauptstr. 29,Bern,3012,Switzerland,Yang.Wang@gmail.com
Comércio Mineiro,Pedro,Afonso,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brazil,Pedro.Afonso@gmail.com
Consolidated Holdings,Elizabeth,Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,Elizabeth.Brown@gmail.com
Drachenblut Delikatessend,Sven,Ottlieb,Walserweg 21,Aachen,52066,Germany,Sven.Ottlieb@gmail.com
Du monde entier,Janine,Labrune,"67, rue des Cinquante Otages",Nantes,44000,France,Janine.Labrune@gmail.com
Eastern Connection,Ann,Devon,35 King George,London,WX3 6FW,UK,Ann.Devon@gmail.com
Ernst Handel,Roland,Mendel,Kirchgasse 6,Graz,8010,Austria,Roland.Mendel@gmail.com
Familia Arquibaldo,Aria,Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Aria.Cruz@gmail.com
FISSA Fabrica Inter. Salchichas S.A.,Diego,Roel,"C/ Moralzarzal, 86",Madrid,28034,Spain,Diego.Roel@gmail.com
Folies gourmandes,Martine,Rancé,"184, chaussée de Tournai",Lille,59000,France,Martine.Rancé@gmail.com
Folk och fä HB,Maria,Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Maria.Larsson@gmail.com
Frankenversand,Peter,Franken,Berliner Platz 43,München,80805,Germany,Peter.Franken@gmail.com
France restauration,Carine,Schmitt,"54, rue Royale",Nantes,44000,France,Carine.Schmitt@gmail.com
Franchi S.p.A.,Paolo,Accorti,Via Monte Bianco 34,Torino,10100,Italy,Paolo.Accorti@gmail.com
Furia Bacalhau e Frutos do Mar,Lino,Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Lino.Rodriguez@gmail.com
Galería del gastrónomo,Eduardo,Saavedra,"Rambla de Cataluña, 23",Barcelona,8022,Spain,Eduardo.Saavedra@gmail.com
Godos Cocina Típica,José,Pedro,"C/ Romero, 33",Sevilla,41101,Spain,José.Pedro@gmail.com
Gourmet Lanchonetes,André,Fonseca,"Av. Brasil, 442",Campinas,04876-786,Brazil,André.Fonseca@gmail.com
Great Lakes Food Market,Howard,Snyder,2732 Baker Blvd.,Eugene,97403,USA,Howard.Snyder@gmail.com
GROSELLA-Restaurante,Manuel,Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,Manuel.Pereira@gmail.com
Hanari Carnes,Mario,Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Mario.Pontes@gmail.com
HILARIÓN-Abastos,Carlos,Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Carlos.Hernández@gmail.com
Hungry Coyote Import Store,Yoshi,Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,Yoshi.Latimer@gmail.com
Hungry Owl All-Night Grocers,Patricia,McKenna,8 Johnstown Road,Cork,,Ireland,Patricia.McKenna@gmail.com
Island Trading,Helen,Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Helen.Bennett@gmail.com
Königlich Essen,Philip,Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Philip.Cramer@gmail.com
La corne d'abondance,Daniel,Tonini,"67, avenue de l'Europe",Versailles,78000,France,Daniel.Tonini@gmail.com
La maison d'Asie,Annette,Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Annette.Roulet@gmail.com
Laughing Bacchus Wine Cellars,Yoshi,Tannamuri,1900 Oak St.,Vancouver,V3F 2K1,Canada,Yoshi.Tannamuri@gmail.com
Lazy K Kountry Store,John,Steel,12 Orchestra Terrace,Walla Walla,99362,USA,John.Steel@gmail.com
Lehmanns Marktstand,Renate,Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Renate.Messner@gmail.com
Let's Stop N Shop,Jaime,Yorres,87 Polk St. Suite 5,San Francisco,94117,USA,Jaime.Yorres@gmail.com
LILA-Supermercado,Carlos,González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Carlos.González@gmail.com
LINO-Delicateses,Felipe,Izquierdo,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Venezuela,Felipe.Izquierdo@gmail.com
Lonesome Pine Restaurant,Fran,Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,Fran.Wilson@gmail.com
Magazzini Alimentari Riuniti,Giovanni,Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Giovanni.Rovelli@gmail.com
Maison Dewey,Catherine,Dewey,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Catherine.Dewey@gmail.com
Mère Paillarde,Jean,Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,Jean.Fresnière@gmail.com
Morgenstern Gesundkost,Alexander,Feuer,Heerstr. 22,Leipzig,4179,Germany,Alexander.Feuer@gmail.com
North/South,Simon,Crowther,South House 300 Queensbridge,London,SW7 1RZ,UK,Simon.Crowther@gmail.com
Océano Atlántico Ltda.,Yvonne,Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,Argentina,Yvonne.Moncada@gmail.com
Old World Delicatessen,Rene,Phillips,2743 Bering St.,Anchorage,99508,USA,Rene.Phillips@gmail.com
Ottilies Käseladen,Henriette,Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,Henriette.Pfalzheim@gmail.com
Paris spécialités,Marie,Bertrand,"265, boulevard Charonne",Paris,75012,France,Marie.Bertrand@gmail.com
Pericles Comidas clásicas,Guillermo,Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,Guillermo.Fernández@gmail.com
Piccolo und mehr,Georg,Pipps,Geislweg 14,Salzburg,5020,Austria,Georg.Pipps@gmail.com
Princesa Isabel Vinhoss,Isabel,de,Estrada da saúde n. 58,Lisboa,1756,Portugal,Isabel.de@gmail.com
Que Delícia,Bernardo,Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Bernardo.Batista@gmail.com
Queen Cozinha,Lúcia,Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,Lúcia.Carvalho@gmail.com
QUICK-Stop,Horst,Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Horst.Kloss@gmail.com
Rancho grande,Sergio,Gutiérrez,Av. del Libertador 900,Buenos Aires,1010,Argentina,Sergio.Gutiérrez@gmail.com
Rattlesnake Canyon Grocery,Paula,Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Paula.Wilson@gmail.com
Reggiani Caseifici,Maurizio,Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Maurizio.Moroni@gmail.com
Ricardo Adocicados,Janete,Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,Janete.Limeira@gmail.com
Richter Supermarkt,Michael,Holz,Grenzacherweg 237,Genève,1203,Switzerland,Michael.Holz@gmail.com
Romero y tomillo,Alejandra,Camino,"Gran Vía, 1",Madrid,28001,Spain,Alejandra.Camino@gmail.com
Santé Gourmet,Jonas,Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,Jonas.Bergulfsen@gmail.com
Save-a-lot Markets,Jose,Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Jose.Pavarotti@gmail.com
Seven Seas Imports,Hari,Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Hari.Kumar@gmail.com
Simons bistro,Jytte,Petersen,Vinbæltet 34,København,1734,Denmark,Jytte.Petersen@gmail.com
Spécialités du monde,Dominique,Perrier,"25, rue Lauriston",Paris,75016,France,Dominique.Perrier@gmail.com
Split Rail Beer & Ale,Art,Braunschweiger,P.O. Box 555,Lander,82520,USA,Art.Braunschweiger@gmail.com
Suprêmes délices,Pascale,Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Pascale.Cartrain@gmail.com
The Big Cheese,Liz,Nixon,89 Jefferson Way Suite 2,Portland,97201,USA,Liz.Nixon@gmail.com
The Cracker Box,Liu,Wong,55 Grizzly Peak Rd.,Butte,59801,USA,Liu.Wong@gmail.com
Toms Spezialitäten,Karin,Josephs,Luisenstr. 48,Münster,44087,Germany,Karin.Josephs@gmail.com
Tortuga Restaurante,Miguel,Angel,Avda. Azteca 123,México D.F.,5033,Mexico,Miguel.Angel@gmail.com
Tradição Hipermercados,Anabela,Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Anabela.Domingues@gmail.com
Trail's Head Gourmet Provisioners,Helvetius,Nagy,722 DaVinci Blvd.,Kirkland,98034,USA,Helvetius.Nagy@gmail.com
Vaffeljernet,Palle,Ibsen,Smagsløget 45,Århus,8200,Denmark,Palle.Ibsen@gmail.com
Victuailles en stock,Mary,Saveley,"2, rue du Commerce",Lyon,69004,France,Mary.Saveley@gmail.com
Vins et alcools Chevalier,Paul,Henriot,59 rue de l'Abbaye,Reims,51100,France,Paul.Henriot@gmail.com
Die Wandernde Kuh,Rita,Müller,Adenauerallee 900,Stuttgart,70563,Germany,Rita.Müller@gmail.com
Wartian Herkku,Pirkko,Koskitalo,Torikatu 38,Oulu,90110,Finland,Pirkko.Koskitalo@gmail.com
Wellington Importadora,Paula,Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Paula.Parente@gmail.com
White Clover Markets,Karl,Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,Karl.Jablonski@gmail.com
Wilman Kala,Matti,Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Matti.Karttunen@gmail.com
Wolski,Zbyszek,Ra,ul. Filtrowa 68,Walla,01-012,Poland,Zbyszek.Ra@gmail.com
